,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume,snr_err,snr_solar_err,snrd_err
0,1130.0,0.14212053,7733809739025246.0,0.00022858950201887405,1.3541573853128972e-10,12439214214529.732,6874977.9,11.980213315300292,1.837652267068993e-17,3.361951450313064e-05,1.832545085260233e-11,1829481839714.588
1,3070.0,0.10222784,1.1094679979312044e+16,0.0001358732126657308,7.126824732089217e-11,14746176895523.674,3770969.4000000004,11.980213315300292,9.214131474780846e-18,3.363681683331719e-05,1.7989046186292864e-11,3650568360716.518
2,139.0,0.17022695,4358592105403722.0,0.00033400872414352916,2.579351038461577e-10,8552158093580.1045,7763707.99,11.980213315300292,3.905548991128465e-17,4.254966209178018e-05,3.408876570310233e-11,1089466863389.3113
3,1367.0,0.14572513,5776942101791669.0,0.00011296222663790432,9.238382564037424e-11,4478131143040.612,2176260.2,11.980213315300292,2.5225305608447177e-17,1.8288750336250904e-05,1.488541338008293e-11,725016006550.4446
4,296.0,0.25230712,5570137442037552.0,0.0001462529667159279,8.16260258314626e-11,3228799591202.428,8177171.9,11.980213315300292,4.529639037195934e-17,3.800559627017076e-05,2.1067767101498908e-11,839042492306.3641
5,476.0,0.33654997,1.4444503118644936e+16,0.0007972379093953625,5.355742109744356e-10,34216926147886.105,14503096.66,11.980213315300292,2.329951866364873e-17,8.014084880433976e-05,5.0782344653295655e-11,3439592463743.6104
6,438.0,0.28015655,6037872330449401.0,9.034407661502791e-06,7.373080499046783e-12,194707566328.13968,5494738.05,11.980213315300292,4.6399879736964866e-17,1.133086050095681e-05,9.269505574131099e-12,244200212698.61142
7,1086.0,0.110905774,4042464962029565.5,0.00017195048280227334,2.077653931232455e-10,6267516801535.125,6626928.9,11.980213315300292,2.7435184977909737e-17,3.7500856503629485e-05,4.344898703205944e-11,1366889143770.105
8,1318.0,0.25842223,1.2336602328174126e+16,3.880309995073812e-06,2.3040141850984745e-12,185238867876.28497,4574515.4,11.980213315300292,2.0947601545834026e-17,2.82569014799187e-05,2.0066017179717993e-11,1348932545718.501
9,239.0,0.18098171,3641311201990936.5,0.00030225900994005505,2.412818141757999e-10,6081383134226.174,5232723.1,11.980213315300292,4.9702346204588546e-17,4.557679901407311e-05,3.3363608335347515e-11,916994920651.5615
10,710.0,0.10202509,4771052704143482.0,2.4560368658584178e-05,1.4162793480613513e-11,1148529379423.2268,1734147.2,11.980213315300292,2.1384188422692335e-17,4.807981135537192e-05,2.772533459407132e-11,2248381393064.7417
11,172.0,0.11897039,5235147582676509.0,0.0002505375433473625,1.9726899149601746e-10,11024600444065.586,3407459.1,11.980213315300292,2.2725317313628718e-17,4.077622588780655e-05,4.2442201288734283e-11,1794308318122.028
12,225.0,0.53474265,9811970905121354.0,0.0016779479567767118,1.131581946296823e-09,30788598089568.734,35419977.24,11.980213315300292,5.4499004855476206e-17,0.00011387537755987631,7.593873964030517e-11,2089494622183.616
13,1954.0,0.13973023,5652493144376689.0,0.0002543553428924535,1.9593822876113782e-10,10289411474776.613,6164643.8,11.980213315300292,2.4720106054265426e-17,2.586106932787316e-05,1.9986652236289428e-11,1046155274216.9916
