,x,y,Redshift,Halo_ID,Halo_SFR,Halo_Volume,Number_of_Subhalos,Mass,Age_Myr,Age_Log(yrs),Z,ccSNRate,IMF,ccSNe,Mean,Std,FWHM
0,4350.18102239896,20248.82962097735,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,898399.94,133.29254998556684,8.124805876416287,0.031554174,4.878249596635116,imf_chab100,II-other,5.34873591662596,2.3840515697138045,5.614012424749567
1,4349.114909672649,20247.250249538305,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1079338.2,35.34452490554108,7.548322148331775,0.0261445,97.98630869400186,imf_chab100,II-other,81.4134548117907,136.3899957918208,321.17389603226644
2,4350.141057048581,20249.09309625022,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1647340.0,51.794844933898965,7.71428653719367,0.026368123,37.94584580519664,imf_chab100,II-other,27.393562230009508,73.18304868776966,172.3329100064359
3,4349.211122553192,20247.27985350155,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,2043789.9,45.80507787818932,7.660913625869266,0.023949964,116.34986379831994,imf_chab100,II-other,43.76634131981885,73.18304868776966,172.3329100064359
5,4350.270944437312,20248.91695266892,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1862159.9,43.04428370805935,7.633915485200094,0.029776262,152.57463344563146,imf_chab100,II-other,7.9504053327056,111.35848071105085,262.22918256257486
7,4350.32349147207,20248.87698731854,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1508997.8,65.8667197503,7.81866603554085,0.025374312,49.504569617074594,imf_chab100,II-other,13.359346281622624,28.20294873227714,66.41286900374641
8,4350.215807055772,20249.091616052057,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1311225.2,31.243387535691447,7.4947581157398036,0.026631348,33.77485077001453,imf_chab100,II-other,76.13900746907177,136.3899957918208,321.17389603226644
9,4350.609909816451,20247.649903042093,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,926570.56,131.7934982015947,8.119893985638722,0.024749324,3.511019423135717,imf_chab100,II-other,5.174280470365564,2.3840515697138045,5.614012424749567
10,4350.216917204393,20249.103457637357,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1214358.9,42.86418100433487,7.632094530181123,0.028293692,155.56530784986901,imf_chab100,II-other,21.59282644797281,111.35848071105085,262.22918256257486
11,4351.053599215566,20247.908937720476,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1701590.1,54.06645159753021,7.732927867593361,0.026056187,42.926336498835006,imf_chab100,II-other,29.50560664816345,73.18304868776966,172.3329100064359
12,4349.962693170039,20249.578601247416,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1749119.5,44.12516932497024,7.644686384951327,0.02882178,91.22361992137968,imf_chab100,II-other,16.733427645947074,111.35848071105085,262.22918256257486
13,4350.351615237151,20249.04572990903,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1346353.1,57.64902106791192,7.760791936983473,0.025576875,9.722599965616059,imf_chab100,II-other,13.122249186258806,28.20294873227714,66.41286900374641
16,4350.394911033395,20248.968759604595,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1476612.1,57.76820775359415,7.761688893856136,0.025215691,17.241192863674875,imf_chab100,II-other,13.54500989424539,28.20294873227714,66.41286900374641
