mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,0.0,0.0,0.0,0.0,0.00033575931311368893,1.2243882510657484e-05,0.0,0.0,0.0,0.0,1.1546711580636557e-13,9.491338050971764e-15,2.332172181554002e-06,6.232991795217199e-07,0.0,0.0
em4,0.0,0.0,8.531984300284934e-07,6.033023958968737e-07,0.0003392769121760983,1.222669133130696e-05,3.1392771715611913e-15,3.1392771715611913e-15,0.0,0.0,3.095797313029821e-07,3.6740356818780174e-08,6.558952395486181e-07,3.2794761977430904e-07,0.0,0.0
001,0.0,0.0,0.0,0.0,0.00029912142810515296,1.1750599503796318e-05,7.609263679213267e-06,1.2509551639897405e-06,4.485193996272636e-06,1.2947640092807985e-06,1.0679592402264778e-05,7.16767318169969e-07,0.0,0.0,0.0,0.0
002,0.0,0.0,7.77159136645364e-07,5.495344945427538e-07,0.00025069330609213446,1.0828301334579536e-05,2.05139534049265e-05,2.4175927939362682e-06,1.935578685981057e-05,2.710352188756261e-06,8.547436561971638e-06,6.028896536906391e-07,0.0,0.0,0.0,0.0
003,0.0,0.0,2.209090237047713e-06,9.018573269588005e-07,0.00011168658672129895,7.634737716278532e-06,4.289686459622603e-05,4.090055564610017e-06,3.673860942786998e-05,3.938792380822277e-06,7.118087138692777e-06,4.995917970328939e-07,0.0,0.0,0.0,0.0
004,0.0,0.0,6.8878871052321e-07,4.870471557776083e-07,1.2404581951207069e-05,2.3442456065569093e-06,9.673903654865653e-05,6.378783509852094e-06,0.00011963794164094791,7.074339940592167e-06,7.551886399704647e-06,6.781794192627151e-07,0.0,0.0,0.0,0.0
006,0.0,0.0,1.2390025259784978e-06,6.195012456969094e-07,5.835897254106174e-07,4.126602578374287e-07,2.2737858940334077e-05,3.467491136595216e-06,0.00020200993185521299,9.51227561568294e-06,0.0,0.0,0.0,0.0,0.0,0.0
008,0.0,0.0,6.8878871052321e-07,4.870471557776083e-07,1.1710189035532732e-06,5.855094604228063e-07,0.0,0.0,0.0003241973004064132,1.2288667940823885e-05,0.0,0.0,0.0,0.0,0.0,0.0
010,0.0,0.0,0.0,0.0,1.2390025259784978e-06,6.195012456969094e-07,0.0,0.0,0.0003609041040341731,1.2922439966400984e-05,0.0,0.0,0.0,0.0,0.0,0.0
014,0.0,0.0,0.0,0.0,2.266745145067598e-06,9.253947949193376e-07,0.0,0.0,0.00037154133106918967,1.310325212706584e-05,0.0,0.0,0.0,0.0,0.0,0.0
020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002533025126201655,1.1044514372744159e-05,0.0,0.0,0.0,0.0,0.0,0.0
030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025078219736352343,1.0955470928767234e-05,0.0,0.0,0.0,0.0,0.0,0.0
040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031329977178434895,1.2121931744541998e-05,0.0,0.0,0.0,0.0,0.0,0.0
