mtl,Ia,Err_Ia,IIP,Err_IIP,II-other,Err_II-other,Ib,Err_Ib,Ic,Err_Ic,Long-GRB,Err_Long-GRB,Pair-Instab,Err_Pair-Instab,Low-mass,Err_Low-mass
em5,0.0,0.0,0.0,0.0,289.45212,10.555232,0.0,0.0,0.0,0.0,9.9334031e-08,8.1652072e-09,2.0105247,0.53733534,0.0,0.0
em4,0.0,0.0,0.73552728,0.52009636,292.48456,10.540412,2.763734e-10,2.763734e-10,0.0,0.0,0.26688328,0.031673219,0.56543577,0.28271788,0.0,0.0
001,0.0,0.0,0.0,0.0,257.86728,10.129983,6.5598125,1.0784265,3.866607,1.1161933,9.2066908,0.61791259,0.0,0.0,0.0,0.0
002,0.0,0.0,0.66997522,0.47374403,216.11835,9.3348904,17.684719,2.0841641,16.686283,2.3365469,7.3685946,0.51974058,0.0,0.0,0.0,0.0
003,0.0,0.0,1.9044178,0.77747524,96.283028,6.5817723,36.980637,3.5259652,31.671709,3.3955636,6.1363769,0.43068925,0.0,0.0,0.0,0.0
004,0.0,0.0,0.59379262,0.41987479,10.693771,2.0209329,83.397018,5.4990368,103.13773,6.0986619,6.5103493,0.58464664,0.0,0.0,0.0,0.0
006,0.0,0.0,1.0681221,0.53406107,0.50310248,0.35574719,19.60191,2.9892633,174.14925,8.2003679,0.0,0.0,0.0,0.0,0.0,0.0
008,0.0,0.0,0.59379262,0.41987479,1.0095147,0.50475734,0.0,0.0,279.48477,10.593843,0.0,0.0,0.0,0.0,0.0,0.0
010,0.0,0.0,0.0,0.0,1.0681221,0.53406107,0.0,0.0,311.12903,11.140206,0.0,0.0,0.0,0.0,0.0,0.0
014,0.0,0.0,0.0,0.0,1.9541209,0.79776651,0.0,0.0,320.29922,11.296082,0.0,0.0,0.0,0.0,0.0,0.0
020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.36769,9.5212831,0.0,0.0,0.0,0.0,0.0,0.0
030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.19498,9.444521,0.0,0.0,0.0,0.0,0.0,0.0
040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0903,10.450108,0.0,0.0,0.0,0.0,0.0,0.0
