Snapshot,Redshift,IIP,IIP_err,II-Other,II-Other_err,Ib,Ib_err,Ic,Ic_err
2,11.98,47.08,1.5,32.0,1.28,6.71,0.56,3.56,0.57
10,7.24,47.62,0.64,36.71,0.44,9.66,0.22,6.0,0.25
20,4.18,47.08,0.29,29.61,0.27,15.1,0.2,8.22,0.14
26,2.9,46.49,0.2,23.0,0.21,20.98,0.22,9.53,0.1
32,2.1,45.19,0.18,21.33,0.23,23.63,0.24,9.85,0.11
40,1.5,44.77,0.26,21.91,0.27,22.83,0.26,10.49,0.15
50,1.0,45.19,0.37,22.44,0.27,21.79,0.3,10.58,0.24
57,0.76,46.23,0.43,22.29,0.29,21.53,0.33,9.96,0.28
66,0.52,46.3,0.57,22.69,0.38,21.15,0.39,9.86,0.36
80,0.26,47.27,0.84,21.26,0.5,21.22,0.52,10.25,0.56
98,0.01,50.46,1.42,20.64,0.87,19.47,0.82,9.43,0.93
