Complexity,Loss,Equation
1,7.4054303,"47.382004"
3,6.520433,"x0 + 44.43177"
4,5.6647463,"47.726974 - sin(x0)"
5,3.8862853,"(x0 * 0.5362075) + 45.79964"
6,0.93057674,"(x0 + 44.543144) - log(x0)"
8,0.5767472,"(x0 + 44.579086) - (log(x0) * 1.3227423)"
9,0.44433203,"((-4.200284 / (-0.4650119 - x0)) + 41.522255) + x0"
12,0.24366242,"(-6.971507 / (-0.7666198 - x0)) + (41.146538 + (x0 - sin(x0)))"
13,0.24216403,"(41.18493 + (-6.6232343 / (-0.72772765 - x0))) + (x0 - sin(sin(x0)))"
14,0.20734178,"(x0 - sin(x0 - -0.3588612)) + (41.187416 + (-6.7345543 / (-0.70513284 - x0)))"
15,0.16861802,"((-6.9847126 / (-0.76807284 - x0)) + (x0 - sin(x0 + sin(x0)))) + 41.143745"
16,0.099202044,"(((-6.7281866 / (-0.6203715 - x0)) + 40.676743) + x0) - sin((x0 * 0.7838206) - -1.7250522)"
17,0.07076264,"((sin(x0 * 0.75724715) - sin(x0)) + 41.293407) + ((-4.7276354 / (-0.5111101 - x0)) + x0)"
24,0.068629555,"(((-12.642321 / ((-1.2035751 - x0) - x0)) + x0) + cos(((exp(sin(x0 / -0.35199624)) - x0) + -12.446508) / -1.241333)) + 40.987087"
25,0.05430143,"((-12.322135 / ((-1.1694657 - x0) - x0)) + (cos((cos((x0 / -0.34707704) + 1.9548414) + (x0 + -12.440117)) / -1.3226316) + 40.883495)) + x0"
27,0.034839448,"(-12.357526 / ((-1.1700714 - x0) - x0)) + (40.870605 + (x0 + cos((cos((x0 + (x0 - 1.4068567)) / -0.34963542) + (x0 + -12.270792)) / -1.3026012)))"
30,0.020423902,"((x0 + cos((cos((x0 - (1.3204621 / x0)) + (x0 / cos(x0))) + (x0 + -12.492622)) / -1.4409696)) + 40.884884) + (-11.363126 / ((-1.1541233 - x0) - x0))"
