Complexity,Loss,Equation
1,28.68611,"25.06448"
3,7.6995683,"x0 + 22.114393"
5,6.1382833,"21.061064 - (x0 * -1.3571124)"
6,5.2027555,"log(x0 + 4.7526584) * 12.781275"
7,4.6109023,"(x0 / cos(sin(x0))) + 21.716152"
9,3.2869406,"((x0 + x0) * sin(log(x0))) + 21.083967"
10,0.6763627,"(x0 * (1.4326013 - sin(x0 / 1.3236479))) + 21.403177"
12,0.42073533,"((2.1005533 - (sin(x0 / -0.5371843) + 0.68749076)) * x0) + 20.428892"
13,0.17575066,"((1.2121788 - sin(exp(3.3115046 - (6.7917066 / x0)))) * x0) + 21.012657"
15,0.1436532,"((1.1327966 - sin(exp(3.3120687 - (6.7468276 / x0)))) * (x0 + 0.4527514)) + 20.716719"
16,0.09529985,"((x0 + -8.214522) * (2.2216623 - (cos(-0.58754754 - x0) * (x0 * 0.29224434)))) + 38.637558"
18,0.09529953,"((1.2217532 - (cos(x0 - -0.5875317) * (x0 * 0.29225737))) * (x0 + -8.214413)) + (x0 + 30.423534)"
19,0.09388583,"((x0 + -8.2082405) * (1.2223154 - (x0 * sin(cos(x0 - -0.58542764) * 0.2961842)))) + (30.418152 + x0)"
20,0.06117456,"((1.2896585 - (cos(x0 - -0.5580564) * (0.2646732 * (x0 + 0.37161124)))) * (x0 + -7.798865)) + (x0 + 30.136023)"
26,0.06003854,"((((x0 - -8.634565) * 0.27732652) - ((x0 * -0.53665805) * cos(x0 + 3.1459873))) * (x0 + -4.3338814)) + (30.335526 - sin(sin(x0 - 1.0382196)))"
28,0.041564118,"(30.94361 - sin(x0 - cos(1.1037351 - x0))) + ((((x0 - -8.692803) * 0.26176083) - (x0 * (cos(3.0974004 - x0) * -0.49478906))) * (x0 + -4.6826))"
29,0.037251454,"(((((x0 - -8.524896) * 0.27650866) - (x0 * (cos(3.1326108 - x0) * -0.53638697))) * (x0 + -4.6822114)) + 31.168978) - sin(sin(x0 - cos(x0 - 0.90431315)))"
