Complexity,Loss,Equation
1,27.480486,"18.602734"
3,6.2804003,"21.552736 - x0"
5,4.6419277,"(x0 * -1.3658308) + 22.63193"
7,4.641927,"((x0 * -2.3453605) + 38.86612) / 1.7173191"
8,3.3078988,"((x0 * -1.7427549) + 23.632643) + log(x0)"
9,3.2618513,"23.045528 - (x0 + exp(cos(x0 * -10.44444)))"
10,2.1457086,"(15.129488 - (x0 + cos(x0 / -0.56101507))) / 0.6565402"
11,2.124643,"(15.129488 - (x0 + cos(x0 / exp(-0.56101507)))) / 0.6565402"
12,0.8481035,"((cos(x0 * -1.6878631) + (x0 / 2.2882342)) * -3.0555751) + 23.377789"
13,0.3338957,"26.859604 + ((-0.84504354 * x0) - exp(1.9717908 - sin(x0 * 0.80661744)))"
14,0.24072328,"((cos((x0 * -0.79602396) + -1.3982816) + (x0 / 3.6024837)) * -4.249223) + 20.815157"
15,0.12129105,"((x0 * -1.2229639) + 17.199997) + exp(1.0708467 - (sin(x0 * 0.74737924) * -1.0936466))"
20,0.11447849,"(20.464863 + x0) + (((cos((x0 * -0.80309606) + -1.4747103) + (x0 / 2.7318997)) * -5.7860575) - cos(log(x0)))"
21,0.101066165,"((20.603573 + x0) - cos(sin(log(x0)))) + (-5.3876686 * ((x0 / 2.665906) + cos(-1.5107107 + (-0.7962173 * x0))))"
22,0.049753107,"(x0 + (((cos((x0 * -0.794008) + -1.5128295) + (x0 / 2.5753236)) * -5.6068816) + 20.529108)) - cos(log(x0) * -1.2191612)"
30,0.023623127,"(((19.872868 + x0) - cos(cos(x0) + (-1.0043079 / sin(x0)))) + (-4.78978 * ((x0 / 2.416222) + cos((-0.80239826 * x0) + -1.5503118)))) + sin(x0 / 2.325031)"
