Complexity,Loss,Equation
1,3.709214,"8.951815"
3,3.0282137,"11.901815 - x0"
4,2.937466,"sin(x0) + 8.606568"
5,0.2985943,"(x0 * -0.52781314) + 10.508872"
7,0.29859418,"((x0 * -0.52781314) + 15.241479) - 4.732612"
8,0.20303577,"((x0 + cos(x0)) * -0.5279062) + 10.681705"
9,0.11965337,"(x0 * -0.40211058) + (cos(log(x0)) + 9.77773)"
10,0.10706324,"((cos(x0 * 1.7111918) + x0) * -0.5370766) + 10.668911"
12,0.059894744,"(x0 * -0.47967786) + (10.120591 - cos((x0 + 1.5990052) * 0.81445646))"
13,0.059857287,"((x0 * -0.49918061) + 10.2844305) - cos(cos(x0 * -0.23535584) + x0)"
15,0.048696674,"(x0 * -0.5074771) + (9.987023 - cos((cos(0.68812114 - x0) + x0) * -1.373378))"
16,0.04764229,"((x0 * -0.57754153) + 10.297192) - cos((sin(cos(x0 * 0.5047294)) + x0) * 1.1976717)"
17,0.04171314,"((x0 * -0.54532087) + 10.237608) - cos((cos((x0 + -1.1472015) * -0.6374383) + x0) * 1.1568996)"
21,0.04011603,"(10.301244 + (x0 * -0.56983316)) - cos((x0 * 1.1934931) + cos((0.5404582 * x0) + ((x0 * -0.61810625) * x0)))"
22,0.010839217,"((x0 * -0.57663727) + 10.293234) - cos((cos(x0 / -0.102639444) * -0.5106218) - ((cos(x0 * 0.58763206) + x0) * -1.1546009))"
23,0.009756832,"(10.205272 - cos((x0 + (cos(x0 * 0.4967246) + (cos(sin(x0) / -0.09665463) * -0.3439437))) * 1.1442676)) + (x0 * -0.52231085)"
24,0.008595247,"((x0 * -0.57663727) + 10.293234) - cos(((cos(x0 / -0.102639444) * -0.4466781) + ((x0 + cos(x0 * -0.56407934)) * 1.1969751)) + -0.18997242)"
26,0.0067767054,"((x0 * -0.55742985) + 10.188362) - cos((cos(0.53588617 * (x0 - cos(x0))) + (x0 + (cos(sin(x0) / -0.09765619) * -0.3629329))) * 1.187258)"
30,0.006776701,"((x0 * -0.55742985) + 10.188362) - cos(((cos((x0 - cos(x0)) * 0.53588617) + x0) + (cos(sin(x0) / -0.09765619) * -0.3629329)) * ((1.187258 + x0) - x0))"
