Complexity,Loss,Equation
1,28.68611,"25.06448"
3,7.6995683,"x0 + 22.11455"
5,6.1382833,"(x0 * 1.3571124) + 21.061064"
7,4.252324,"(x0 / cos(sin(x0))) + 21.117342"
8,3.0255754,"(x0 / cos(sin(log(x0)))) + 21.117342"
9,1.3455211,"(x0 / cos(sin(-0.64926136 - x0))) + 20.959705"
10,1.0642426,"exp(cos(cos(x0 * -0.17375682)) + 2.8800519) + -9.253387"
11,0.53063744,"(x0 / (cos(cos(x0 - 0.80416024)) - 0.10985933)) + 20.184002"
12,0.4278037,"((x0 - -3.5853784) / sin(cos(sin(-0.7785346 - x0)))) + 14.775214"
13,0.15817444,"((x0 - -1.7690315) / (cos(sin(x0 - -0.9352211)) + -0.12691727)) + 16.860317"
18,0.1045296,"sin(x0 + x0) + (exp(cos(cos(cos(x0 * 0.31752405) - 1.1028628)) + 2.758463) + -6.1152287)"
20,0.050794438,"-6.700023 + (exp(cos(cos(0.8749236 - cos(0.3713322 * x0))) + 2.7992773) - sin((-1.057543 / x0) - -0.5080239))"
21,0.04375762,"(sin(x0 + x0) + exp(cos(cos(cos(x0 * 0.3628153) - 0.97505087)) + 2.757328)) + (sin(x0) + -6.3472514)"
23,0.03595901,"(-7.1087284 - sin(cos(0.9483629 - (-1.0602053 / x0)) * 1.5434592)) + exp(cos(cos(cos(x0 * 0.37158352) - 0.88241875)) + 2.8150501)"
25,0.026079703,"exp(cos(cos(0.8641912 - cos(x0 * 0.3716733))) + 2.7951334) + (-6.7262073 - sin((-1.0578908 / x0) - log(cos(cos(x0 * -1.2178326)))))"
26,0.026075928,"exp(cos(cos(log(2.3754075) - cos(x0 * 0.3716733))) + 2.7951334) + (-6.7262073 - sin((-1.0578908 / x0) - log(cos(cos(x0 * -1.2178326)))))"
27,0.02474653,"(exp(cos(cos(cos(x0 * 0.3712291) - 0.8650385)) + 2.799899) + (-6.7191715 - sin((-1.0576801 / x0) - log(cos(cos(x0 * -1.2410914)))))) - 0.13478786"
28,0.024738114,"exp(cos(cos(log(2.3754075) - cos(x0 * 0.3716733))) + 2.7951334) + (-6.7262073 - sin((-1.0578908 / x0) - log(cos(cos((x0 - -0.06363671) * -1.2178326)))))"
30,0.014185166,"(exp(cos(cos(cos(x0 * 0.36948013) - 0.886603)) + 2.7913845) + -6.5187693) - sin((-1.0599444 / x0) - (log(cos(cos(x0 + 0.9833938))) + log(cos(cos(x0)))))"
