Complexity,Loss,Equation
1,27.480486,"18.602734"
3,6.2804003,"21.552736 - x0"
5,4.6419277,"22.63193 - (x0 * 1.3658308)"
7,4.362129,"(cos(log(x0)) + 21.19237) - x0"
8,3.9130332,"22.301348 - ((cos(x0) + x0) * 1.3658364)"
9,2.6080475,"exp(cos(x0 * -0.20989913) - -1.9140664) + 3.6859093"
10,0.19227768,"19.72371 - ((sin(x0 * -0.79013616) * 5.2585783) + x0)"
12,0.15759768,"19.874855 - (x0 + (sin((x0 * -0.8000244) - -0.0711707) * 5.2455606))"
14,0.14326644,"20.141762 - ((sin((x0 - 0.122222126) * -0.7986594) * 5.0416417) + (x0 * 1.0570892))"
16,0.112975165,"exp(cos(x0 * 0.27176845) - ((sin(x0 + 2.1305304) * 0.20638354) + -1.8591934)) + 5.346158"
18,0.11295826,"exp(cos((x0 + -0.023709238) * 0.27229297) - ((sin(x0 + 2.134755) * 0.2050572) + -1.8580428)) + 5.3308506"
19,0.08629704,"((-0.15977883 / cos(x0 + -0.35253564)) + 20.161865) - (((sin(x0 * -0.7907094) * 5.0196157) + 0.315166) + x0)"
20,0.08336,"19.71126 - ((x0 + sin((sin(x0 * -1.1975813) * 7.3566575) + x0)) + (sin(x0 * -0.8130715) * 5.23826))"
23,0.028840523,"(exp(cos(x0 * 0.28007466) - ((sin(x0 + 2.2909994) * 0.20042337) + -1.7583781)) - cos(x0 - (-0.5562054 / x0))) + 6.406339"
24,0.027566506,"(exp(cos(x0 * 0.2596812) - ((sin(x0 + 2.1268744) * 0.2274197) + -1.8824744)) - (0.7112781 - cos(log(x0) - -2.2737734))) + 6.079065"
25,0.024988152,"(exp(cos(x0 * 0.26618627) - ((sin(x0 + 2.1249068) * 0.23587112) + -1.8139842)) - cos(((x0 + 0.5456446) / x0) - 0.23821975)) + 6.135168"
27,0.021094643,"(exp(cos(x0 * 0.30178648) - ((sin(x0 + 2.2344198) * 0.22987606) + -1.843889)) - cos((0.9667481 - x0) / sin(sin(-0.12865259 - x0)))) + 6.068347"
29,0.021001132,"(6.068347 - 0.015475983) + (exp(cos(0.30178648 * x0) - ((0.22987606 * sin(x0 + 2.2344198)) + -1.843889)) - cos((0.9667481 - x0) / sin(sin(-0.12865259 - x0))))"
30,0.021001073,"((6.068347 - sin(0.015475983)) + exp(cos(x0 * 0.30178648) - ((0.22987606 * sin(x0 + 2.2344198)) + -1.843889))) - cos((0.9667481 - x0) / sin(sin(-0.12865259 - x0)))"
