Complexity,Loss,Equation
1,7.4054303,"47.381866"
3,6.520433,"x0 + 44.43177"
4,5.6647463,"47.726974 - sin(x0)"
5,3.8862853,"(x0 * 0.53615654) - -45.800232"
6,0.9305791,"(x0 + 44.54315) - log(x0)"
8,0.57674706,"(x0 + 44.5791) - (log(x0) * 1.3227348)"
10,0.38135672,"(x0 - (log(x0) * exp(sin(x0)))) + 44.516243"
11,0.18613334,"(x0 + 44.52514) - ((sin(x0) + 1.3241248) * log(x0))"
12,0.16571616,"(x0 - (log(x0) * (sin(sin(x0)) + 1.3256997))) + 44.518993"
13,0.1589007,"(x0 - ((sin(sin(sin(x0))) + 1.3263433) * log(x0))) + 44.516243"
14,0.153853,"(x0 + 44.17221) - ((sin(sin(x0)) + 1.3197591) * (log(x0) - 0.21244651))"
16,0.097380996,"(cos(x0 * -0.45395672) + 44.381622) + (x0 + ((log(x0) * -1.156364) - sin(x0)))"
18,0.078057736,"((((cos((x0 * -2.050553) - -0.3892828) - 2.0176988) * log(x0)) + x0) - sin(x0)) + 45.560017"
20,0.07436572,"(cos((x0 - cos(exp(x0))) * 0.4716214) - sin(x0)) + (x0 + (44.45549 - (log(x0) * 1.1605692)))"
21,0.024611264,"((cos(x0 * 0.44177127) - sin(x0 - cos(x0))) + (x0 + 44.30296)) - ((log(x0) * 1.0690272) + 0.47572818)"
23,0.024127752,"(cos(-0.08847256 - (x0 * 0.42637184)) - sin(x0 - cos(x0))) + (((x0 + 43.8455) - (log(x0) * 1.0617402)) + 0.018358696)"
28,0.021425754,"((cos(((cos(sin(log(x0))) - x0) + -0.6856627) * 0.44177127) - sin(x0 - cos(x0))) + x0) + (44.30296 - ((log(x0) * 1.0690272) + 0.47572818))"
