Complexity,Loss,Equation
1,27.480486,"18.60275"
3,6.2804003,"21.552313 - x0"
5,4.6419277,"22.631678 - (x0 / 0.7321925)"
7,2.9729018,"exp(cos(x0 * -0.17065072)) * 8.066124"
9,2.4403205,"((cos(log(x0)) + 5.9904633) * 3.3922465) - x0"
10,0.66908205,"exp(exp(cos((x0 - 1.5637242) * 0.2785584))) + 7.51404"
11,0.4983142,"(exp(cos((x0 * 0.37447003) + -0.6047611)) * 6.6960735) + 4.5541587"
12,0.2868755,"exp(exp(cos((x0 * 0.26047215) + -0.42360094) / 0.9588568)) + 6.0954823"
14,0.24247508,"exp(exp(cos((x0 - 1.7152634) * 0.2999733))) + ((x0 * -0.22098076) + 8.496271)"
16,0.24247502,"(exp(exp(cos((1.7152629 - x0) * 0.29997346))) + 8.371598) + ((x0 - 0.56418777) * -0.22098055)"
17,0.15477659,"exp(exp(cos((x0 * 0.2574469) + -0.22795294))) + (7.8403926 + (cos(x0 + 3.4368365) / 0.41386193))"
19,0.14495283,"(exp(exp(cos((x0 * 0.2671424) + -0.42153484))) + ((cos(5.6110682 / x0) * -0.7248104) + 6.20422)) / 0.9362373"
23,0.07977026,"((exp(exp(cos((x0 * 0.2513621) + -0.36715597))) + 5.4470563) / 0.88212496) + cos(exp(cos((1.0952697 - x0) * (x0 / -1.0372345))))"
24,0.051847674,"(exp(3.2946186 + (cos(x0 + 2.0812767) + ((x0 * -0.18067032) - sin(x0 + -2.8770337)))) - (0.020253684 / x0)) + (x0 / 2.5040493)"
25,0.04366882,"(exp((((x0 * -0.18067032) - sin(x0 + -2.8770337)) + cos(x0 + 2.0812767)) + 3.2946186) - (0.020253684 / sin(x0))) + (x0 / 2.5040493)"
26,0.043548275,"(exp(cos(x0 + 2.0841558) + (((x0 * -0.17978813) + 3.293175) - sin(x0 + -2.8734894))) + (x0 / 2.5232105)) - (0.020119438 / sin(sin(x0)))"
27,0.015709305,"((x0 / 2.643932) - (0.14729352 / sin(x0 - -0.05803059))) + exp(((x0 * -0.17990002) + 3.3080215) + (cos(x0 + 2.0726547) - sin(x0 + -2.889713)))"
28,0.015708439,"((x0 / 2.643932) - (0.14729352 / sin(x0 - sin(-0.05803059)))) + exp(((x0 * -0.17990002) + 3.3080215) + (cos(x0 + 2.0726547) - sin(x0 + -2.889713)))"
