Complexity,Loss,Equation
1,3.709214,"8.951815"
3,3.0282137,"11.901815 - x0"
4,2.9374657,"sin(x0) + 8.60669"
5,0.2985943,"10.508866 - (x0 * 0.5278125)"
7,0.2985942,"((x0 * -0.5278126) - -12.598752) + -2.0898871"
8,0.12488424,"(cos(x0 * 0.27441528) * 2.9673371) + 7.225201"
10,0.093156934,"(cos(0.33378777 - (x0 * 0.32454932)) * 3.0069277) + 7.087062"
11,0.06324767,"exp(cos((x0 * -0.21998854) + 0.28560054) * 1.803748) + 4.136416"
13,0.06321068,"(exp(cos((x0 * -0.2224997) + 0.2874794) * 1.7700396) + 3.986194) * 1.0357847"
14,0.03260629,"3.106194 + (exp(cos(x0 * 0.18101063) * 1.9756775) + cos(-1.2207203 / x0))"
15,0.021296091,"cos(-1.1639823 / sin(x0)) + (4.2568707 + exp(1.8306177 * cos(x0 * -0.17612396)))"
16,0.016017962,"exp(cos(x0 * -0.18046169) * 1.7997776) + (4.49579 + cos(-1.1621964 / sin(sin(x0))))"
18,0.015351048,"((exp(cos(x0 * -0.18949367) * 1.7206851) + 4.3112206) + cos(-1.162258 / sin(sin(x0)))) / 0.9363163"
21,0.014609639,"((exp(cos((x0 + -0.21139562) * 0.1962502) * 1.7850214) - -0.44406378) + cos((-1.1629331 / sin(x0)) - 0.069566615)) + 4.045407"
24,0.012962586,"exp(cos(x0 * -0.17399997) * 1.8164078) + (cos((-1.1634185 / sin(sin(x0))) - (((x0 * 1.0220071) + -0.09196094) - x0)) + 4.356442)"
28,0.012640717,"(exp(1.8098147 * cos(-0.17593358 * ((-0.08934049 + x0) * 1.0206186))) + cos((((-0.08934049 + x0) * 1.0206186) - x0) - (-1.1638769 / sin(sin(x0))))) + 4.401117"
