Complexity,Loss,Equation
1,28.68611,"25.06448"
3,7.6995683,"x0 + 22.11455"
5,6.1382823,"(x0 + 15.519025) * 1.3571126"
6,5.2027516,"log(x0 + 4.753149) * 12.780558"
8,5.1640105,"(log(x0 + 6.4414334) + -0.5633853) * 15.458246"
9,2.7183402,"exp(x0 * exp(x0 / -7.9143867)) + 18.867"
10,1.9161973,"exp((-14.024719 / (x0 * x0)) + 2.7755659) + 21.632507"
11,1.4086913,"exp((exp(x0 / -8.98323) * x0) + -0.49294686) + 20.17428"
13,0.8118939,"exp(exp(x0 / -6.4848504) * ((x0 + -1.864291) / 0.6378135)) + 21.402014"
14,0.5629024,"exp(x0 * exp((x0 / -7.726342) + (-10.348743 / exp(x0)))) + 20.683512"
16,0.48961976,"exp((x0 + exp(x0 * (0.9889226 - x0))) * exp(x0 / -8.277874)) + 16.688377"
18,0.2623023,"exp(exp(0.47128102 - ((x0 * x0) * 0.48747176)) + (x0 * exp(x0 / -8.428776))) + 15.665204"
19,0.1982306,"exp((exp(x0 / -8.403501) * x0) + exp((2.7562497 - (x0 * exp(x0))) / 6.150688)) + 15.853318"
21,0.19552632,"exp((exp(x0 / -8.403038) * (x0 - -0.045223475)) + exp((2.8134077 - (x0 * exp(x0))) / 6.2787066)) + 15.563321"
23,0.055326022,"(exp((1.1891807 * (x0 + exp((3.8924167 - exp(x0)) / 4.3970537))) * exp(x0 / -6.726883)) - 0.45768484) + (x0 - -11.196481)"
25,0.051209185,"(exp(((x0 + exp((3.9850461 - exp(log(exp(x0)))) / 4.5077157)) * 1.1933953) * exp(x0 / -6.743875)) - 0.5844003) + (x0 - -11.069771)"
29,0.04377863,"(exp(((x0 * 1.1901878) * exp(x0 / -6.726397)) + exp(1.1540505 - ((1.3663573 + ((x0 + exp(x0 * 1.1339633)) * 1.4207225)) / 8.445021))) + x0) - -10.726783"
