Complexity,Loss,Equation
1,27.480488,"18.602718"
3,6.280401,"21.552734 - x0"
5,4.6419277,"22.631926 - (x0 * 1.36583)"
8,4.1181927,"24.391394 - ((x0 + x0) - log(x0))"
10,2.1219602,"(x0 + 2.1059155) * (exp(x0 * -0.29073688) * 9.49825)"
12,2.0532992,"(exp(x0 * -0.29071411) * ((x0 + 2.055914) * 9.490379)) + 0.5004851"
13,1.5475188,"exp(((x0 + 0.92119735) * (exp(x0 * -0.4539311) * 0.77910167)) + 2.1761448)"
14,0.8712576,"((exp(x0 * -0.43480948) * 7.035482) * ((x0 * 1.9270122) + 1.8902075)) + 5.317103"
15,0.71190953,"exp(((x0 + 1.4452599) * (exp(x0 * -0.35580808) * 0.7151994)) + 1.9458119) - 1.04397"
20,0.6591796,"(-19.747746 - ((x0 + 6.1465983) / (exp(x0) / ((x0 - -5.4962163) + (x0 * (x0 * 6.941586)))))) / -2.5029757"
22,0.55571264,"((x0 - 11.322623) - (16.7444 - (-13.986389 / (exp(x0) / (((x0 + x0) * (x0 * 1.6119856)) - -1.4121522))))) / -2.2848"
23,0.31130192,"exp(((x0 + (exp(exp(x0 * 1.0340445) * -1.1228826) + 0.72306913)) * (exp(x0 * -0.4166211) * 1.0089883)) + 1.9771216) - 1.0739936"
