Complexity,Loss,Equation
1,28.686115,"25.06454"
3,7.6995683,"x0 + 22.11455"
5,6.1382847,"(x0 * 1.3571091) + 21.061073"
6,5.2027545,"log(x0 - -4.752675) * 12.781264"
8,5.186828,"(log(x0 - -5.0957365) * 13.330436) + -1.7436093"
9,2.3888056,"((-3.6451466 / (x0 + -7.703998)) + x0) - -21.057693"
11,2.3827662,"((x0 / x0) / (x0 + -7.1087537)) - (-21.524874 - x0)"
13,2.2679944,"((x0 * (-0.075758435 / (-2.8151388 - (x0 * -0.37887034)))) + x0) - -21.36701"
15,1.7429458,"(x0 + (((-0.32212946 / (-3.005975 - (x0 * -0.36946002))) + 0.31967497) * x0)) - -20.573648"
19,0.41651103,"((x0 / ((x0 + -7.09139) * x0)) + (x0 / ((x0 + -7.448786) + x0))) - (-21.347008 - x0)"
21,0.4044871,"(x0 / (x0 + (x0 + -7.444908))) + ((x0 / ((x0 + -7.0928392) * x0)) - (-21.424093 - (x0 * 0.97457516)))"
23,0.3897582,"((((x0 / x0) / (x0 + -7.0965624)) + ((x0 + -0.41109666) / ((x0 + x0) + -7.5282936))) - (-22.627756 - x0)) + -1.3548899"
25,0.3847756,"(((x0 / (x0 / 1.0385076)) / (x0 + -7.0965624)) + (((x0 + -0.41109666) / ((x0 + x0) + -7.5282936)) - (-22.627756 - x0))) + -1.3548899"
28,0.34956923,"((x0 / x0) / (x0 + -7.1087537)) + (((exp(1.0954155) + (x0 + (x0 / (x0 + -0.55714756)))) / ((x0 * x0) + -15.688407)) - (-21.524874 - x0))"
29,0.32192752,"(((x0 / x0) / (x0 + -7.1087537)) + ((((x0 / (x0 + -0.55714744)) + (x0 + 2.9904249)) / ((x0 * x0) + -15.688407)) - (-21.524874 - x0))) - 0.2937951"
30,0.31196684,"((((exp(1.0954155) + ((x0 / (x0 + -0.55714756)) + x0)) / ((x0 * x0) + -15.688407)) - (-21.524874 - x0)) + ((x0 / x0) / (x0 + -7.1087537))) - 0.1971717"
