Complexity,Loss,Equation
1,27.480486,"18.602734"
3,6.280401,"21.552902 - x0"
5,4.6419277,"(x0 - 16.570553) / -0.7321987"
8,3.3078988,"(x0 * -1.7427307) + (log(x0) + 23.632433)"
9,3.307898,"log(exp((x0 * -1.7427608) + 23.63257) * x0)"
11,2.5734327,"log(x0 * (exp((x0 * -2.112239) + 24.26696) + x0))"
12,2.5267763,"(exp((x0 * (x0 / -4.829904)) + x0) - -19.821428) - x0"
13,2.240924,"log(x0 * (exp((-2.185299 * x0) + 24.335884) - (-2.5470462 * x0)))"
14,0.53863543,"((1.4961994 * exp((1.4961994 - (x0 * 0.38032484)) * x0)) - -18.31695) - x0"
16,0.39226687,"((exp((((1.0729002 - x0) * x0) * 0.33427355) + x0) * 1.8490019) - -18.043262) - x0"
18,0.3922599,"(exp(((x0 * ((0.7571345 - x0) * 0.3019011)) + (x0 - -0.56526655)) * 1.0987785) - -18.03569) - x0"
22,0.39224103,"((exp((x0 + (x0 * ((1.1905823 - x0) * 0.33338517))) - (x0 * 0.041522354)) * 1.8525743) - -18.14029) - (x0 + 0.09900686)"
30,0.38576373,"((exp(((1.0709989 - x0) * (((((x0 * 1.3048832) - x0) * (0.39821842 - x0)) * -0.01540859) + (x0 * 0.32053995))) + x0) * 1.848341) - -18.141565) - (x0 + 0.09765449)"
