Complexity,Loss,Equation
1,27.480486,"18.602734"
3,6.280401,"21.55273 - x0"
5,4.6419287,"(x0 * -1.3658117) + 22.631847"
7,4.6419277,"((22.632523 / x0) + -1.3659208) * x0"
8,1.8076245,"(1568.6259 / (exp(x0) + 110.634026)) + 7.8119674"
10,1.6670887,"(1236.5839 / ((exp(x0) + 87.15995) - x0)) + 7.79821"
11,1.4540484,"(1236.67 / (exp(x0) + (85.89469 - log(x0)))) + 7.9153814"
12,0.32217467,"(482.1712 / (exp(x0) + (39.936195 - (x0 * 7.4245834)))) + 8.320502"
14,0.3204539,"((x0 + 482.16956) / ((exp(x0) + 39.90189) - (x0 * 7.34663))) + 8.3101635"
15,0.28997147,"(493.2288 / ((exp(x0) + 38.866634) - ((x0 * 6.067015) + log(x0)))) + 8.353393"
21,0.22000805,"(237.14496 / ((x0 + 48.313087) - ((890.3218 / (x0 + (33.130642 - ((5.3110223 - x0) * x0)))) + 7.8595505))) + 1.9954468"
22,0.19417295,"((390.00287 / ((exp(x0) + (39.13382 - ((x0 * 8.16155) + -0.6703099))) - 0.63857144)) + (1.8576447 - (x0 * 0.24912971))) + 8.744977"
28,0.1931129,"((1.1216732 - ((x0 * 1.3826289) / (33.98878 - (x0 + x0)))) + 8.010336) + (390.0998 / (exp(x0) + ((37.623947 - ((x0 * 7.410722) + 0.82451576)) - 2.1339993)))"
