Complexity,Loss,Equation
1,7.405431,"47.381817"
3,6.5204344,"x0 - -44.431824"
5,3.8862853,"(x0 * 0.5361563) + 45.800137"
6,0.93187106,"(x0 - log(x0)) - -44.579086"
8,0.57674813,"(x0 - (log(x0) * 1.3227429)) - -44.579086"
9,0.44559288,"(x0 + (4.410228 / (x0 + 0.48924696))) + 41.460835"
10,0.4424923,"((3.5220687 / log(x0 + 1.4129562)) + 40.408577) + x0"
12,0.3574128,"((log(x0 + 0.012759172) / 2.541968) * (x0 + -3.201959)) + 45.681496"
21,0.356577,"((((log((x0 + x0) / 3.287243) * ((x0 + -3.40692) + x0)) - log(x0)) + -0.78581226) / 4.392774) + 45.70431"
23,0.30121338,"((log(x0 + x0) * -1.1101518) - (exp(x0 / 8.131896) * -3.5553973)) + (((x0 + (-18.708454 - x0)) * -2.2788866) + -0.09025228)"
