Complexity,Loss,Equation
1,27.480486,"18.602734"
3,6.280401,"21.55273 - x0"
5,4.6419287,"(x0 * -1.365834) - -22.631937"
7,4.6419272,"((22.631924 / x0) + -1.3658297) * x0"
8,4.2832584,"exp((x0 / (-68.706 / x0)) + 3.1072214)"
10,2.534696,"exp((x0 / (-43.327522 / x0)) + 2.7747908) + 6.0130816"
11,0.8114874,"(61.963783 / ((x0 * x0) - -11.139536)) * (x0 - -3.4454858)"
13,0.7849837,"((60.267033 / ((x0 * x0) - -10.025099)) - -0.0492966) * (x0 - -3.1320133)"
15,0.5724075,"(((x0 - -5.920181) * 29.382544) / (10.639674 - (x0 * (1.4390292 - x0)))) + 2.7664125"
19,0.5264415,"((29.901049 / (((165.61176 - x0) / (5.5102916 - x0)) - ((x0 - -9.31814) * x0))) * 10.640059) + 9.770368"
22,0.5035201,"((x0 - -3.2358482) * (35.860397 / (6.0421314 - ((x0 - (x0 * x0)) - (1.671783 / (x0 - log(x0))))))) + 2.7299724"
24,0.45447025,"((29.405375 / (8.994022 - ((x0 + -0.18919334) * ((1.8613304 - x0) - ((1.3152083 / exp(x0)) - -0.4667298))))) * (x0 - -5.135725)) + 2.6809309"
25,0.3475578,"((29.929564 / (((5.7502823 - ((x0 - 166.5513) / (5.6676908 - x0))) - (x0 * 5.5230565)) - ((x0 * 6.3049564) - -2.471131))) * 10.708938) + 10.091974"
