Complexity,Loss,Equation
1,3.7092147,"8.951818"
2,3.7092142,"exp(2.191827)"
3,3.0282137,"11.901815 - x0"
5,0.29859436,"(x0 * -0.5278144) + 10.508876"
8,0.2503051,"9.985419 - ((log(x0) * 0.20911762) * x0)"
9,0.17074987,"((19.225412 - x0) - (0.02346316 / x0)) / 1.7918973"
11,0.14048205,"((-0.6073435 - (1.8149933 / (-0.27045152 - x0))) * x0) + 9.391019"
13,0.14040701,"((x0 * (-0.6082545 - (1.851588 / (-0.26405823 - x0)))) + 9.238335) - -0.11419585"
14,0.060095593,"((x0 * (0.23087901 - ((x0 - -0.94106305) / exp(x0)))) * -1.8681417) + 9.47886"
16,0.05524371,"x0 + (((0.7281251 - ((x0 - -0.8463728) / exp(x0))) * (x0 * -1.987698)) + 9.474293)"
18,0.050790653,"(((0.6053259 - ((x0 - -0.46518347) / exp(x0))) * ((x0 - -0.341142) * -2.3326297)) + 9.610761) + x0"
21,0.047772363,"((7.3333635 - (((((x0 + x0) * ((x0 * 0.0010987779) + -0.030435983)) + 0.5350815) * x0) * x0)) + x0) - -2.38735"
