Complexity,Loss,Equation
1,27.480486,"18.602577"
3,6.280401,"21.552803 - x0"
5,4.641928,"(16.568573 - x0) * 1.3660009"
7,4.6419277,"((14.644033 - x0) + 1.9260672) * 1.365829"
8,3.3078978,"((13.560352 - x0) * 1.7427688) + log(x0)"
10,3.2920969,"((13.809556 - x0) * 1.7038152) - (log(x0) * -0.89933306)"
12,3.182358,"(((11.445382 - x0) * 1.6898971) + 5.914715) - exp(1.6266136 - x0)"
13,0.9184312,"exp(x0 - (log(x0 * 0.518101) * x0)) - (x0 + -17.64424)"
14,0.503124,"exp(x0 + (0.9728094 - ((x0 * 0.24556614) * x0))) - (x0 + -17.611464)"
20,0.39232948,"((exp((x0 * (1.3648429 - (x0 * 0.3359096))) + 0.60780007) + x0) - ((x0 + -17.429121) - 0.6231816)) - x0"
21,0.34853265,"exp((log(x0 + (((x0 * 1.1539637) * x0) + 1.2279518)) + 1.2426621) + (1.0745753 - (x0 / 1.2255977))) - -7.348714"
23,0.31446078,"exp(x0 + ((1.4015262 - (x0 + (x0 - 0.5857743))) + (log((x0 * x0) + (x0 + 1.4828149)) * 1.3684105))) - -7.5751486"
25,0.3144603,"exp(((1.4053789 - (x0 + (x0 - 0.5816989))) + (log((((x0 * x0) + 1.9270335) - 0.44358397) + x0) * 1.3685782)) + x0) - -7.5710454"
