Complexity,Loss,Equation
1,28.686115,"25.064608"
3,7.699569,"x0 - -22.114536"
5,6.1382856,"(x0 * 1.3571157) + 21.061214"
7,6.1382847,"(x0 + 21.061066) - (x0 * -0.3571131)"
8,5.068549,"exp((-6.0281134 / (x0 - -6.534933)) + 3.903551)"
9,4.982651,"(x0 + (1.8643056 / (x0 + -3.648743))) + 21.863894"
10,3.0241854,"(x0 + 20.789364) + (log(x0) / (x0 + -6.9832525))"
11,2.2535937,"(x0 + 21.36011) + (7.2616515 / ((192.35034 / x0) + -25.663374))"
17,0.50994307,"((1.8643056 / (x0 + -3.648743)) + (x0 + 21.863894)) + (x0 / ((192.38016 / x0) + -25.537703))"
23,0.41710767,"(1.864306 / (x0 + -3.6488104)) + (((x0 / ((192.38017 / (x0 * ((192.37968 / x0) + -25.541454))) + -24.761625)) + x0) + 21.86388)"
