Complexity,Loss,Equation
1,28.686115,"25.063028"
3,7.6995697,"x0 - -22.114542"
5,6.1382856,"(x0 * 1.3571227) + 21.061031"
6,5.202751,"log(x0 - -4.7526894) * 12.781145"
8,5.169678,"(log(x0 + 6.16345) * 14.839017) - 6.830812"
9,3.5273826,"(x0 / (8.399261 - x0)) - (-21.552063 - x0)"
11,2.2452085,"(x0 - -21.168558) + (1.6623709 / ((7.406228 - x0) / 0.8315248))"
15,1.7201645,"(x0 / (8.399767 - x0)) - ((x0 * 0.61636084) + ((-20.501093 - x0) - x0))"
17,1.7201622,"((x0 / (8.399261 - x0)) - ((x0 * 0.6164922) + ((-21.026812 - x0) - x0))) - 0.5252522"
25,1.0225637,"(x0 / (8.982048 - x0)) - (((x0 * -0.47042263) + ((((-0.9584284 / (x0 + -3.6440773)) + -31.83554) - -8.059533) - (x0 - 1.5325849))) - -1.3880817)"
