Complexity,Loss,Equation
1,28.686115,"25.064548"
3,7.6995683,"x0 + 22.11455"
5,6.1382847,"(x0 * 1.357006) - -21.06117"
6,5.2052236,"log(x0 - -4.7966704) / 0.07856101"
8,5.174152,"log((x0 - -5.8990703) * 0.6625175) / 0.06833305"
9,2.665288,"((2.8336365 / (x0 + -6.872665)) + 21.920168) + x0"
11,2.432365,"((x0 + 21.443233) + (1.3865612 / (x0 + -7.048064))) * 1.008406"
12,2.2753735,"(x0 + exp((3.5535498 / (x0 + -7.696629)) * -0.29322746)) + 20.076008"
13,2.2323425,"x0 + (((x0 / (-6.385324 + x0)) / (-6.385324 + x0)) + 21.520552)"
14,1.9000281,"(22.747335 - x0) + (exp((-5.8215876 - (x0 * -4.0774484)) / x0) - x0)"
17,1.2468685,"(((((x0 * -0.086402096) / (1.2157779 / x0)) + x0) / (1.0878466 / x0)) + 32.023075) * 0.65713024"
19,1.0306497,"(((((x0 / 1.1467702) * (-0.07581959 / (0.9986597 / x0))) + x0) + -1.2682874) / (1.2045329 / x0)) + 21.82801"
25,0.7648962,"(x0 + ((3.7463222 / (((x0 / 1.3886534) + x0) + -6.245752)) + 21.817905)) + ((x0 / 1.126379) / ((x0 / (x0 + -6.5505085)) + -9.405962))"
30,0.45303223,"12.057829 - ((exp(exp(x0) * -0.2936444) * -10.886582) + (((((x0 + 1.6349777) + x0) * log((x0 + (x0 * (10.580104 - x0))) + x0)) + 3.9607232) * -0.4019245))"
