Complexity,Loss,Equation
1,27.480486,"18.602734"
3,6.2804003,"21.552736 - x0"
5,4.6419277,"(x0 * -1.36583) + 22.631927"
8,3.3078988,"(log(x0) - (x0 * 1.7427294)) + 23.632442"
10,2.7056243,"(((12.749226 / exp(x0)) - 1.0415128) * x0) + 19.283564"
12,0.85484713,"(((x0 * (x0 / 0.039956015)) + 13.11591) / exp(x0)) + 8.282509"
14,0.8113634,"(((x0 * (x0 / 0.04196155)) + (x0 - -12.77004)) / exp(x0)) + 8.485328"
16,0.5563927,"(((((x0 * x0) / 0.052244373) + 8.257877) / exp(x0)) + (x0 * -0.48062092)) + 12.707991"
18,0.34168515,"((((x0 * (x0 / 0.04025461)) + (x0 / (x0 + -0.18255539))) - -11.758338) / exp(x0)) + 8.344637"
22,0.22470145,"(x0 * -0.4858801) + (12.79472 + (((x0 * (x0 / 0.053309813)) + ((x0 / (x0 + -0.18142527)) - -6.9970493)) / exp(x0)))"
24,0.21151525,"(((((x0 / 0.052901976) * x0) + ((x0 / (x0 + -0.17129648)) - -7.014015)) / exp(x0)) + 12.665232) + ((x0 + -0.16939199) * -0.48445502)"
27,0.14716262,"((x0 + 8.140817) / ((exp(x0) / ((x0 * exp((0.0104606105 / x0) * -0.2853815)) * (x0 + (6.0415707 / (x0 * 7.2051415))))) / 2.3597686)) + 7.5813518"
