Complexity,Loss,Equation
1,3.7092147,"8.951818"
2,3.7092142,"exp(2.1918006)"
3,3.0282137,"11.9018345 - x0"
5,0.2985944,"(x0 - 19.910208) * -0.5278131"
8,0.10772269,"10.178855 - exp((-7.033348 / x0) + 2.384673)"
12,0.10437932,"10.178855 - exp(2.384673 + (((0.8651584 / -7.033348) + -7.033348) / x0))"
13,0.09717014,"10.178855 - exp(2.384673 + (((-7.033348 / exp(x0)) + -7.033348) / x0))"
15,0.08039083,"(x0 * (-2.371828 - (-1.9028088 / exp((x0 * -1.0761616) / exp(x0))))) + 9.690001"
16,0.060725864,"(1.5186684 / exp(log(exp(x0 / 3.1896338) / (x0 + (x0 - -4.2491846))))) + 3.2196581"
17,0.054938316,"(x0 + ((x0 / (-0.45361444 / exp((-2.8559053 / exp(x0)) * 1.9693036))) / 1.5197445)) + 9.54191"
19,0.05492107,"x0 + (((x0 / ((-1.2312638 / exp((-2.8469248 / exp(x0)) * 1.9562091)) / 1.7868797)) + 5.414078) - -4.1322885)"
21,0.050682966,"(3.1692002 / (exp(exp(x0 / 5.989983)) / ((x0 - -4.3862553) + ((x0 / (x0 + 0.683036)) * 1.2139169)))) + 4.3550725"
24,0.04233484,"(1.7233726 - ((-1.80033 - x0) / exp((x0 + -1.5137714) / exp(exp(exp(-0.28006107 - exp(exp(-0.5408603 / exp(x0))))))))) * 2.04131"
