start
end
         79616896 function calls (79561187 primitive calls) in 53.050 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      7/6    0.000    0.000   51.877    8.646 threading.py:637(wait)
   1500/1    0.018    0.000   51.876   51.876 {built-in method builtins.exec}
      2/1    0.035    0.018   51.876   51.876 processing.py:1(<module>)
     3020    3.140    0.001   51.732    0.017 processing.py:97(process_file_new)
   235032    0.990    0.000   23.514    0.000 _distn_infrastructure.py:1079(rvs)
   705096    0.146    0.000   19.565    0.000 frame.py:1300(__getitem__)
   238052    0.285    0.000   19.546    0.000 group_by.py:140(__next__)
   705096    0.467    0.000   19.419    0.000 getitem.py:128(get_df_item_by_key)
   235032    0.244    0.000   17.917    0.000 getitem.py:291(_select_rows)
   170735    0.452    0.000   17.328    0.000 _distn_infrastructure.py:1049(_rvs)
   235032    0.168    0.000   16.963    0.000 getitem.py:335(_select_rows_by_index)
   170735    0.675    0.000   16.876    0.000 _continuous_distns.py:10336(_ppf)
   235032   16.674    0.000   16.674    0.000 {method 'gather_with_series' of 'builtins.PyDataFrame' objects}
   159042    0.349    0.000   13.613    0.000 _continuous_distns.py:10342(ppf_left)
   176900    0.126    0.000   12.811    0.000 _continuous_distns.py:10168(_log_sum)
   176900    1.269    0.000   12.685    0.000 _logsumexp.py:15(logsumexp)
   176900    2.132    0.000    7.927    0.000 _logsumexp.py:201(_logsumexp)
   235032    0.079    0.000    3.842    0.000 <string>:5(_parse_args_rvs)
   235032    0.821    0.000    3.763    0.000 _distn_infrastructure.py:931(_argcheck_rvs)
   582684    0.759    0.000    3.761    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
      158    0.002    0.000    2.651    0.017 __init__.py:1(<module>)
   677074    1.600    0.000    2.272    0.000 _stride_tricks_impl.py:373(_broadcast_to)
   353800    0.099    0.000    2.152    0.000 _at.py:362(set)
   353800    0.801    0.000    2.053    0.000 _at.py:224(_op)
   176900    0.863    0.000    1.846    0.000 _continuous_distns.py:10177(_log_gauss_mass)
   235033    1.196    0.000    1.750    0.000 _polynomial_impl.py:711(polyval)
   176930    0.499    0.000    1.702    0.000 _array_api.py:524(xp_promote)
    17858    0.054    0.000    1.544    0.000 _continuous_distns.py:10347(ppf_right)
   707602    0.442    0.000    1.192    0.000 numerictypes.py:385(isdtype)
   530709    0.270    0.000    1.160    0.000 fromnumeric.py:2304(sum)
  1400/15    0.003    0.000    1.150    0.077 <frozen importlib._bootstrap>:1349(_find_and_load)
  1361/14    0.002    0.000    1.149    0.082 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  1315/14    0.002    0.000    1.148    0.082 <frozen importlib._bootstrap>:911(_load_unlocked)
  1132/12    0.001    0.000    1.146    0.095 <frozen importlib._bootstrap_external>:993(exec_module)
  3203/29    0.001    0.000    1.145    0.039 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   707633    0.438    0.000    1.145    0.000 fromnumeric.py:66(_wrapreduction)
   470064    0.169    0.000    1.133    0.000 fromnumeric.py:2548(all)
   353813    0.106    0.000    1.023    0.000 _internal.py:33(wrapped_f)
   176900    0.261    0.000    1.007    0.000 _logsumexp.py:169(_elements_and_indices_with_max_real)
  1177713    1.002    0.000    1.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   470070    0.331    0.000    0.963    0.000 fromnumeric.py:86(_wrapreduction_any_all)
 1455/461    0.001    0.000    0.955    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   353800    0.291    0.000    0.917    0.000 _aliases.py:631(sign)
9213/3071    0.008    0.000    0.807    0.000 deprecation.py:123(wrapper)
     3071    0.024    0.000    0.798    0.000 functions.py:56(read_csv)
8551152/8551144    0.697    0.000    0.796    0.000 {built-in method builtins.isinstance}
16145/10476    0.002    0.000    0.721    0.000 {built-in method builtins.hasattr}
     47/7    0.000    0.000    0.713    0.102 __init__.py:73(import_module)
     47/7    0.000    0.000    0.713    0.102 <frozen importlib._bootstrap>:1375(_gcd_import)
     38/1    0.000    0.000    0.712    0.712 __init__.py:129(__getattr__)
   470064    0.144    0.000    0.682    0.000 frame.py:9172(get_column)
     3071    0.010    0.000    0.666    0.000 functions.py:602(_read_csv_impl)
  718/157    0.000    0.000    0.647    0.004 {built-in method builtins.__import__}
     3071    0.643    0.000    0.643    0.000 {built-in method read_csv}
   353800    0.162    0.000    0.626    0.000 _aliases.py:574(isdtype)
   176931    0.305    0.000    0.614    0.000 _array_api.py:471(xp_result_type)
   707602    0.396    0.000    0.585    0.000 numerictypes.py:372(_preprocess_dtype)
     3020    0.022    0.000    0.574    0.000 group_by.py:84(__iter__)
        1    0.000    0.000    0.545    0.545 _stats_py.py:1(<module>)
   648576    0.302    0.000    0.532    0.000 frame.py:11942(iter_rows)
   582690    0.461    0.000    0.496    0.000 _stride_tricks_impl.py:446(_broadcast_shape)
   235037    0.373    0.000    0.468    0.000 numeric.py:97(zeros_like)
   235032    0.138    0.000    0.440    0.000 getitem.py:342(_convert_series_to_indices)
   235032    0.051    0.000    0.439    0.000 series.py:1458(__getitem__)
   708116    0.199    0.000    0.420    0.000 wrap.py:20(wrap_s)
   353900    0.188    0.000    0.419    0.000 numerictypes.py:475(issubdtype)
   530700    0.225    0.000    0.414    0.000 _helpers.py:217(is_jax_array)
   290696    0.138    0.000    0.410    0.000 {method 'all' of 'numpy.generic' objects}
  1384828    0.247    0.000    0.409    0.000 _function_base_impl.py:363(iterable)
   176900    0.271    0.000    0.405    0.000 _continuous_distns.py:10193(mass_case_central)
   235032    0.069    0.000    0.389    0.000 getitem.py:50(get_series_item_by_key)
2735571/2733924    0.223    0.000    0.377    0.000 {built-in method builtins.len}
  2667043    0.376    0.000    0.376    0.000 {built-in method numpy.array}
   176905    0.073    0.000    0.368    0.000 fromnumeric.py:3011(max)
   470064    0.116    0.000    0.355    0.000 series.py:4885(to_numpy)
  1061523    0.296    0.000    0.354    0.000 _helpers.py:149(is_torch_array)
    12080    0.008    0.000    0.327    0.000 deprecation.py:84(wrapper)
    12080    0.022    0.000    0.319    0.000 opt_flags.py:327(wrapper)
   411936    0.164    0.000    0.309    0.000 shape_base.py:19(atleast_1d)
   235032    0.166    0.000    0.305    0.000 {method 'get_index_signed' of 'builtins.PySeries' objects}
   530761    0.153    0.000    0.296    0.000 _array_api.py:75(_asarray)
   680268    0.184    0.000    0.284    0.000 {built-in method builtins.any}
    12080    0.024    0.000    0.282    0.000 frame.py:2279(collect)
     1132    0.003    0.000    0.275    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
   290696    0.053    0.000    0.272    0.000 _methods.py:64(_all)
   176900    0.143    0.000    0.260    0.000 _delegation.py:34(atleast_nd)
   470064    0.259    0.000    0.259    0.000 {method 'get_column' of 'builtins.PyDataFrame' objects}
   353809    0.143    0.000    0.256    0.000 _ufunc_config.py:472(__enter__)
      625    0.000    0.000    0.251    0.000 _docscrape.py:579(__init__)
1315/1314    0.001    0.000    0.247    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
