SNR MASS RELATIONS
IIP
  z=11.98: B=nan, Log(A)=nan
  z=7.24: B=-0.0053, Log(A)=-10.4
  z=4.18: B=-0.13, Log(A)=-9.3
  z=2.90: B=-0.17, Log(A)=-9.0
  z=2.10: B=-0.13, Log(A)=-9.4
  z=1.50: B=-0.16, Log(A)=-9.2
  z=1.00: B=-0.13, Log(A)=-9.4
  z=0.76: B=-0.15, Log(A)=-9.3
  z=0.52: B=-0.1, Log(A)=-9.7
  z=0.26: B=-0.12, Log(A)=-9.6
  z=0.01: B=-0.096, Log(A)=-9.8
Overall: B: -0.12, Log(A):-9.52
II-Other
  z=11.98: B=nan, Log(A)=nan
  z=7.24: B=-0.095, Log(A)=-9.7
  z=4.18: B=-0.28, Log(A)=-8.2
  z=2.90: B=-0.33, Log(A)=-7.8
  z=2.10: B=-0.31, Log(A)=-8.2
  z=1.50: B=-0.33, Log(A)=-8.0
  z=1.00: B=-0.26, Log(A)=-8.7
  z=0.76: B=-0.29, Log(A)=-8.4
  z=0.52: B=-0.18, Log(A)=-9.4
  z=0.26: B=-0.21, Log(A)=-9.2
  z=0.01: B=-0.2, Log(A)=-9.4
Overall: B: -0.22, Log(A):-8.93
Ib
  z=11.98: B=nan, Log(A)=nan
  z=7.24: B=0.15, Log(A)=-12.2
  z=4.18: B=0.039, Log(A)=-11.4
  z=2.90: B=0.028, Log(A)=-11.3
  z=2.10: B=-0.00049, Log(A)=-11.0
  z=1.50: B=-0.03, Log(A)=-10.7
  z=1.00: B=-0.036, Log(A)=-10.6
  z=0.76: B=-0.056, Log(A)=-10.4
  z=0.52: B=-0.059, Log(A)=-10.4
  z=0.26: B=-0.047, Log(A)=-10.4
  z=0.01: B=-0.072, Log(A)=-10.2
Overall: B: -0.036, Log(A):-10.62
Ic
  z=11.98: B=nan, Log(A)=nan
  z=7.24: B=0.2, Log(A)=-12.9
  z=4.18: B=-0.032, Log(A)=-11.0
  z=2.90: B=-0.088, Log(A)=-10.5
  z=2.10: B=-0.11, Log(A)=-10.3
  z=1.50: B=-0.12, Log(A)=-10.2
  z=1.00: B=-0.043, Log(A)=-10.9
  z=0.76: B=-0.1, Log(A)=-10.4
  z=0.52: B=0.018, Log(A)=-11.4
  z=0.26: B=-0.049, Log(A)=-10.8
  z=0.01: B=-0.05, Log(A)=-10.8
Overall: B: -0.08, Log(A):-10.56
